scenario,profile,mode,seed,stop_reason,collected,collected_ratio,collected_mass_kg,collected_mass_per_meter,path_length_m,sim_time_s,goal_count,evaluated_goal_count,empty_goal_arrivals,empty_goal_arrivals_per_km,wasted_path_to_empty_goals,wasted_path_ratio,wasted_time_to_empty_goals,wasted_time_ratio,goal_success_rate,route_false_visits,capture_contacts,terminal_capture_attempts,successful_captures,missed_capture_count,missed_captures,partial_contact_events,throughput_limit_events,bin_full_events,collection_precision,pushed_away_events,pushed_away_debris_count,info_gain_total,unload_events,auc_collected_by_path,collected_ratio_at_1km,collected_ratio_at_2km,collected_ratio_at_3km,map_precision,map_recall,map_f1,map_iou,map_brier,count_mae,detection_precision,detection_recall,false_detection_count,true_detection_count,camera_detection_precision,camera_detection_recall,camera_false_detection_count,camera_true_detection_count,radar_detection_precision,radar_detection_recall,radar_false_detection_count,radar_true_detection_count,near_range_detection_precision,near_range_detection_count,mid_range_detection_precision,mid_range_detection_count,far_range_detection_precision,far_range_detection_count,phase,path_budget_m,safety_tmax_s,world_area_m2,collection_coverage_ratio,drift_speed_mps,drift_per_update_width,drift_per_60s_width,camera_sigma_eff_m,radar_sigma_eff_m,camera_capture_uncertainty_ratio,radar_capture_uncertainty_ratio,expected_camera_clutter_per_scan,expected_radar_clutter_per_scan,config_hash,git_commit,git_dirty,runner,oracle_current_collected_ratio,oracle_current_auc_collected_by_path,oracle_current_path_length_m,oracle_gap_collected_ratio,oracle_gap_auc_collected_by_path,collected_ratio_vs_oracle,best_fixed_auc_collected_by_path,best_fixed_collected_ratio,delta_vs_best_fixed_auc,delta_vs_best_fixed_collected_ratio,gain_vs_best_fixed_auc,gain_vs_best_fixed_collected_ratio,regret_to_best_fixed_auc,regret_to_best_fixed_collected_ratio
static_calm,nominal,greedy,330,path_budget,60,0.4,23.487484244261186,0.007829149466066084,3000.004578538587,4916.0,236,235,175,58.333244306330016,2286.7061563096113,0.762234222130271,3874.0,0.7880390561432059,0.2553191489361702,0,781,73,60,13,13,703,5,0,0.821917808219178,0,0,-0.16069442299815626,0,0.20420238758565748,0.13333333333333333,0.22,0.4,0.13114754098360656,0.08888888888888889,0.10596026490066227,0.055944055944055944,0.011384196703751672,0.030464760577613516,0.9567695451123777,0.8733333333333333,402,8897,0.993849493487699,0.8133333333333334,17,2747,0.9410864575363428,0.8733333333333333,385,6150,0.9867759851891034,3781,0.9578400231013572,3463,0.8997566909975669,2055,baseline,3000.0,16500.0,40000.0,0.075,0.0,0.0,0.0,1.25,3.67,1.25,3.67,0.009544769346843989,0.15904312808798324,9031e650a518,0641409,True,run_layer1,1.0,0.7353215035191204,1908.9317457171273,0.6,0.531119115933463,0.4,0.2671997011134113,0.46,-0.06299731352775381,-0.06,0.0,0.0,0.06299731352775381,0.06
static_calm,nominal,greedy,331,path_budget,53,0.35333333333333333,18.589166781204494,0.006196111072159988,3000.1345303069656,4768.0,214,213,164,54.66421533544363,2368.458258318875,0.7894506844253216,3845.0,0.8064177852348994,0.2300469483568075,0,850,71,53,18,18,728,51,0,0.7464788732394366,0,0,-0.1523154414576478,0,0.2310393466839906,0.21333333333333335,0.3,0.35333333333333333,0.25892857142857145,0.30851063829787234,0.2815533980582524,0.1638418079096045,0.013068460831568393,0.03914418174992321,0.9716383049716383,0.76,425,14560,0.9930475086906141,0.7,30,4285,0.9629803186504218,0.76,395,10275,0.988382327055096,5681,0.9774460490021094,6163,0.929958611907036,3141,baseline,3000.0,16500.0,40000.0,0.075,0.0,0.0,0.0,1.25,3.67,1.25,3.67,0.009544769346843989,0.15904312808798324,4606a7df41fb,0641409,True,run_layer1,1.0,0.7903418750866287,1409.6087270168966,0.6466666666666667,0.559302528402638,0.35333333333333333,0.35769855503188597,0.52,-0.12665920834789537,-0.16666666666666669,0.0,0.0,0.12665920834789537,0.16666666666666669
static_calm,nominal,greedy,332,path_budget,50,0.3333333333333333,17.974176671719142,0.005991310687255628,3000.0408274524602,4670.0,204,203,155,51.66596353677663,2362.998265303922,0.7876553691139281,3774.0,0.8081370449678801,0.23645320197044334,0,717,68,50,18,18,649,0,0,0.7352941176470589,0,0,-0.13516715284024292,0,0.20497356356495136,0.18666666666666668,0.25333333333333335,0.3333333333333333,0.19607843137254902,0.10204081632653061,0.13422818791946312,0.07194244604316546,0.011775891200187162,0.030417363030131126,0.9601746352891066,0.7133333333333334,374,9017,0.9941327466079941,0.6533333333333333,16,2711,0.9462785114045619,0.7133333333333334,358,6306,0.9867875647668394,3860,0.9647995102540557,3267,0.9081272084805654,2264,baseline,3000.0,16500.0,40000.0,0.075,0.0,0.0,0.0,1.25,3.67,1.25,3.67,0.009544769346843989,0.15904312808798324,83fccbbaf19b,0641409,True,run_layer1,1.0,0.7414871864010895,1619.1981506910968,0.6666666666666667,0.5365136228361381,0.3333333333333333,0.33666790078542724,0.5733333333333334,-0.13169433722047588,-0.24000000000000005,0.0,0.0,0.13169433722047588,0.24000000000000005
static_calm,nominal,greedy,333,path_budget,39,0.26,12.738546774287745,0.00424604242997051,3000.0987942026327,4481.0,178,177,141,46.998452275127505,2609.2442026730732,0.8697194264786067,3867.0,0.8629770140593618,0.2033898305084746,0,467,48,39,9,9,419,0,0,0.8125,0,0,-0.1250140899918379,0,0.07606261131724001,0.0,0.12,0.26,0.17647058823529413,0.08108108108108109,0.11111111111111113,0.058823529411764705,0.012931603760702758,0.03462479782675082,0.9545569300681646,0.8266666666666667,360,7562,0.9915178571428571,0.76,19,2221,0.9399859204505456,0.8266666666666667,341,5341,0.985408890397014,2947,0.9584674822923374,3106,0.8994114499732477,1869,baseline,3000.0,16500.0,40000.0,0.075,0.0,0.0,0.0,1.25,3.67,1.25,3.67,0.009544769346843989,0.15904312808798324,191d507b0047,0641409,True,run_layer1,1.0,0.7668094345764104,1754.1327162488021,0.74,0.6907468232591704,0.26,0.3348574386207369,0.5466666666666666,-0.2587948273034969,-0.2866666666666666,0.0,0.0,0.2587948273034969,0.2866666666666666
static_calm,nominal,greedy,334,path_budget,67,0.44666666666666666,27.026086559096058,0.009008245829736214,3000.14975944406,4976.0,246,244,178,59.33037157217917,2253.7079745143837,0.7511984918152903,3846.0,0.7729099678456591,0.27049180327868855,0,980,94,67,27,27,881,5,0,0.7127659574468085,0,0,-0.17862203263205312,1,0.2155604818008312,0.12666666666666668,0.3,0.44666666666666666,0.21212121212121213,0.25301204819277107,0.23076923076923078,0.13043478260869565,0.011892313411750507,0.037345436429704594,0.9616363280485418,1.0,392,9826,0.9915993537964459,0.9933333333333333,26,3069,0.948617155692826,1.0,366,6757,0.9870310328855951,4318,0.9626825310978907,3698,0.9100817438692098,2202,baseline,3000.0,16500.0,40000.0,0.075,0.0,0.0,0.0,1.25,3.67,1.25,3.67,0.009544769346843989,0.15904312808798324,3ae5d31d064a,0641409,True,run_layer1,1.0,0.7339039589579819,1869.8021726703216,0.5533333333333333,0.5183434771571507,0.44666666666666666,0.3111317131648685,0.58,-0.09557123136403728,-0.1333333333333333,0.0,0.0,0.09557123136403728,0.1333333333333333
static_calm,nominal,greedy,335,path_budget,55,0.36666666666666664,17.097008872185885,0.005698641195990851,3000.190446139002,4825.0,227,226,174,57.99631827503607,2489.171216090875,0.8296710694796837,4022.0,0.8335751295336787,0.23008849557522124,0,815,70,55,15,15,733,12,0,0.7857142857142857,0,0,-0.16004825555651755,0,0.22333260007197472,0.18666666666666668,0.3,0.36666666666666664,0.2631578947368421,0.2127659574468085,0.2352941176470588,0.13333333333333333,0.01165786991084813,0.0342032652104784,0.9746161844761148,0.8733333333333333,415,15934,0.9937914793406123,0.8266666666666667,29,4642,0.9669463949306388,0.8733333333333333,386,11292,0.9911731664259349,6231,0.9797410510281798,6565,0.9361103292991838,3553,baseline,3000.0,16500.0,40000.0,0.075,0.0,0.0,0.0,1.25,3.67,1.25,3.67,0.009544769346843989,0.15904312808798324,3be3f122811c,0641409,True,run_layer1,1.0,0.819441075007062,1378.7276672041849,0.6333333333333333,0.5961084749350872,0.36666666666666664,0.3357908748721844,0.62,-0.11245827480020967,-0.25333333333333335,0.0,0.0,0.11245827480020967,0.25333333333333335
static_calm,nominal,greedy,336,path_budget,56,0.37333333333333335,20.159859679582816,0.006719894037848851,3000.026423933958,4910.0,230,229,174,57.999489141776436,2162.8942944516316,0.7209584146313656,3730.0,0.7596741344195519,0.24017467248908297,0,809,72,56,16,16,721,16,0,0.7777777777777778,0,0,-0.14427481184692764,0,0.1708645688489416,0.08666666666666667,0.24,0.37333333333333335,0.168141592920354,0.20212765957446807,0.18357487922705315,0.10106382978723404,0.013265024609080805,0.040302089245319736,0.958181629044003,0.96,402,9211,0.9908913467794405,0.8733333333333333,28,3046,0.9428047102003364,0.96,374,6165,0.9874338624338624,4536,0.9521804511278196,3325,0.8938356164383562,1752,baseline,3000.0,16500.0,40000.0,0.075,0.0,0.0,0.0,1.25,3.67,1.25,3.67,0.009544769346843989,0.15904312808798324,4c87107d26db,0641409,True,run_layer1,1.0,0.7353298708571158,1621.4281236365482,0.6266666666666667,0.5644653020081741,0.37333333333333335,0.20188223662698218,0.41333333333333333,-0.031017667778040575,-0.03999999999999998,0.0,0.0,0.031017667778040575,0.03999999999999998
static_calm,nominal,greedy,337,path_budget,39,0.26,14.54410943862867,0.0048479035430655576,3000.0822643083666,4464.0,178,177,142,47.332035420947506,2464.771354919476,0.8215679230675029,3735.0,0.8366935483870968,0.1977401129943503,0,616,54,39,15,15,550,12,0,0.7222222222222222,0,0,-0.06992811352315166,0,0.2134728723282063,0.20666666666666667,0.25333333333333335,0.26,0.3116883116883117,0.22429906542056074,0.2608695652173913,0.15,0.012417246188634368,0.02672336347515918,0.9720103612030508,0.52,389,13509,0.9958582604693972,0.5133333333333333,18,4328,0.9611599664991625,0.52,371,9181,0.9907017543859649,5700,0.9799898253349161,5897,0.9052585832246849,2301,baseline,3000.0,16500.0,40000.0,0.075,0.0,0.0,0.0,1.25,3.67,1.25,3.67,0.009544769346843989,0.15904312808798324,154bed60fd2f,0641409,True,run_layer1,1.0,0.8135829047519106,1308.2475413993209,0.74,0.6001100324237043,0.26,0.3593019850520092,0.52,-0.14582911272380292,-0.26,0.0,0.0,0.14582911272380292,0.26
static_calm,nominal,greedy,338,path_budget,21,0.14,6.538964872699906,0.0021796175000860685,3000.0515560375597,4490.0,175,174,154,51.33245116740653,2752.8488998720395,0.9176005306748717,4127.0,0.9191536748329622,0.11494252873563218,0,321,31,21,10,10,290,0,0,0.6774193548387096,0,0,-0.07895028499280274,0,0.0834187183747139,0.08666666666666667,0.09333333333333334,0.14,0.0975609756097561,0.06349206349206349,0.07692307692307693,0.04,0.017463079320249552,0.043813490598851756,0.9142104001917086,0.5133333333333333,358,3815,0.9837133550488599,0.32666666666666666,20,1208,0.8852292020373514,0.5133333333333333,338,2607,0.9681818181818181,1760,0.9195250659630607,1516,0.7993311036789298,897,baseline,3000.0,16500.0,40000.0,0.075,0.0,0.0,0.0,1.25,3.67,1.25,3.67,0.009544769346843989,0.15904312808798324,23ff128d47ad,0641409,True,run_layer1,1.0,0.7111491022043768,1864.8146101342084,0.86,0.6277303838296628,0.14,0.227833908067146,0.42,-0.1444151896924321,-0.27999999999999997,0.0,0.0,0.1444151896924321,0.27999999999999997
static_calm,nominal,greedy,339,path_budget,53,0.35333333333333333,17.139322522727525,0.005712889859629534,3000.1142930907067,4868.0,228,227,176,58.66443168692931,2419.3637657780864,0.8064238657006852,3985.0,0.8186113393590797,0.22466960352422907,0,761,68,53,15,15,669,24,0,0.7794117647058824,0,0,-0.1494856727125295,0,0.24756675443908935,0.21333333333333335,0.31333333333333335,0.35333333333333333,0.1836734693877551,0.09375,0.12413793103448278,0.0661764705882353,0.011134749696768049,0.026934052431443548,0.9624426605504587,0.7266666666666667,393,10071,0.994343180389692,0.6533333333333333,18,3164,0.948503158472947,0.7266666666666667,375,6907,0.9892372484791764,4274,0.966566866267465,4008,0.9023831347387717,2182,baseline,3000.0,16500.0,40000.0,0.075,0.0,0.0,0.0,1.25,3.67,1.25,3.67,0.009544769346843989,0.15904312808798324,a065acdbb43f,0641409,True,run_layer1,1.0,0.7597603009846853,1845.7895518073926,0.6466666666666667,0.5121935465455959,0.35333333333333333,0.2740920341604893,0.4533333333333333,-0.026525279721399925,-0.09999999999999998,0.0,0.0,0.026525279721399925,0.09999999999999998
