scenario,metric,paired_n,adaptive_mean,belief_horizon_mean,mean_difference,std_difference,descriptive_bootstrap_low,descriptive_bootstrap_high,wins,ties,losses
robot_disturbed,auc_collected_by_path,10,0.29923109415541127,0.37193218130150835,-0.0727010871460971,0.05924971922935858,-0.10746193113771249,-0.037795097316435475,2,0,8
robot_disturbed,collected_ratio,10,0.7606666666666666,0.7213333333333333,0.03933333333333335,0.13591754944418905,-0.03866666666666661,0.12066666666666666,6,0,4
static_calm,auc_collected_by_path,10,0.24746897423195352,0.30064563474951406,-0.05317666051756054,0.04756403681446957,-0.0822566782429529,-0.02600649597179839,1,0,9
static_calm,collected_ratio,10,0.43666666666666665,0.5106666666666666,-0.074,0.06959849579756698,-0.11599999999999999,-0.03466666666666666,2,1,7
strong_drift,auc_collected_by_path,10,0.5322686296521529,0.5445617544324012,-0.012293124780248372,0.07582148606507957,-0.057065888078003814,0.03156348252643048,5,0,5
strong_drift,collected_ratio,10,0.9066666666666666,0.8326666666666668,0.07399999999999998,0.2003811183534831,-0.0386666666666667,0.19466666666666668,5,0,5
weak_drift,auc_collected_by_path,10,0.2688826618881062,0.3405787331768644,-0.07169607128875818,0.11355230857070296,-0.13330130219148742,-0.00017050710103356693,2,0,8
weak_drift,collected_ratio,10,0.6813333333333332,0.6993333333333334,-0.017999999999999988,0.18547370117394135,-0.13399999999999998,0.0846666666666667,4,1,5
