scenario,mode,auc_collected_by_path,collected_ratio
robot_disturbed,adaptive_mission,0.29923109415541127,0.7606666666666666
robot_disturbed,belief_horizon,0.37193218130150835,0.7213333333333333
robot_disturbed,belief_orienteering,0.3255097057677615,0.6373333333333333
robot_disturbed,belief_orienteering_depth1,0.31086488932564027,0.6386666666666667
robot_disturbed,confirmed_route,0.18620936002783986,0.5893333333333334
robot_disturbed,greedy,0.137226832279642,0.19666666666666663
robot_disturbed,oracle_current_physics,0.7467918004296435,1.0
static_calm,adaptive_mission,0.24746897423195352,0.4366666666666667
static_calm,belief_horizon,0.30064563474951406,0.5106666666666666
static_calm,belief_orienteering,0.2114031160942765,0.4119999999999999
static_calm,belief_orienteering_depth1,0.18987109440904243,0.368
static_calm,confirmed_route,0.18592063618031732,0.344
static_calm,greedy,0.18704939050155964,0.3286666666666666
static_calm,oracle_current_physics,0.7607127212346382,1.0
strong_drift,adaptive_mission,0.5322686296521528,0.9066666666666666
strong_drift,belief_horizon,0.5445617544324012,0.8326666666666667
strong_drift,belief_orienteering,0.5805961024345951,0.8666666666666666
strong_drift,belief_orienteering_depth1,0.5417623004931474,0.8673333333333334
strong_drift,confirmed_route,0.455889984173621,0.8779999999999999
strong_drift,greedy,0.12502765172316455,0.18
strong_drift,oracle_current_physics,0.7737370474714773,1.0
weak_drift,adaptive_mission,0.2688826618881062,0.6813333333333333
weak_drift,belief_horizon,0.3405787331768644,0.6993333333333334
weak_drift,belief_orienteering,0.31183338103809555,0.7446666666666666
weak_drift,belief_orienteering_depth1,0.28613129639647583,0.6653333333333333
weak_drift,confirmed_route,0.16607884072713003,0.48200000000000004
weak_drift,greedy,0.16980626195687468,0.2826666666666667
weak_drift,oracle_current_physics,0.7617176989860315,1.0
