scenario,profile,mode,seed,stop_reason,collected,collected_ratio,collected_mass_kg,collected_mass_per_meter,path_length_m,sim_time_s,goal_count,evaluated_goal_count,empty_goal_arrivals,empty_goal_arrivals_per_km,wasted_path_to_empty_goals,wasted_path_ratio,wasted_time_to_empty_goals,wasted_time_ratio,goal_success_rate,route_false_visits,capture_contacts,terminal_capture_attempts,successful_captures,missed_capture_count,missed_captures,partial_contact_events,throughput_limit_events,bin_full_events,collection_precision,pushed_away_events,pushed_away_debris_count,info_gain_total,unload_events,auc_collected_by_path,collected_ratio_at_1km,collected_ratio_at_2km,collected_ratio_at_3km,map_precision,map_recall,map_f1,map_iou,map_brier,count_mae,detection_precision,detection_recall,false_detection_count,true_detection_count,camera_detection_precision,camera_detection_recall,camera_false_detection_count,camera_true_detection_count,radar_detection_precision,radar_detection_recall,radar_false_detection_count,radar_true_detection_count,near_range_detection_precision,near_range_detection_count,mid_range_detection_precision,mid_range_detection_count,far_range_detection_precision,far_range_detection_count,config_hash,git_commit,git_dirty,runner
static_calm,nominal,lawnmower_collect,0,time_budget,0,0.0,0.0,0.0,3194.7000000012067,5401.0,34,33,33,10.329608413931679,3095.2500000011464,0.9688703164616325,5233.0,0.9688946491390483,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-0.0839899160661942,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014701495973727347,0.01981958475381063,0.791828793774319,0.2,428,1628,0.5972222222222222,0.03333333333333333,29,43,0.7988911290322581,0.2,399,1585,0.20481927710843373,83,0.7864357864357865,693,0.8328125,1280,3bcd58746886,317f685,False,run_experiments
static_calm,nominal,lawnmower_collect,1,time_budget,11,0.07333333333333333,4.060171930837208,0.0012709086708722803,3194.7000000012067,5401.0,34,33,27,8.451497793216829,1972.9500000007952,0.6175697248568097,3347.0,0.6197000555452694,0.18181818181818182,0,111,13,11,2,2,98,0,0,0.8461538461538461,0,0,-0.16009239879177256,0,0.03890916666665837,0.02666666666666667,0.04,0.07333333333333333,0.2564102564102564,0.07246376811594203,0.11299435028248588,0.059880239520958084,0.015003274760980616,0.029750831594582267,0.9471834976765272,0.44666666666666666,466,8357,0.9819958847736625,0.2733333333333333,35,1909,0.9373455444105248,0.44666666666666666,431,6448,0.9712722298221614,2193,0.9572004028197382,3972,0.9123401053423627,2658,93ebb4662848,317f685,False,run_experiments
static_calm,nominal,lawnmower_collect,2,time_budget,7,0.04666666666666667,2.8911020240930596,0.0009049682361698963,3194.7000000012067,5401.0,34,33,27,8.451497793216829,1973.2500000006535,0.617663630387801,3348.0,0.6198852064432513,0.18181818181818182,0,71,8,7,1,1,63,0,0,0.875,0,0,-0.1535574380604794,0,0.021805277777771144,0.006666666666666667,0.02666666666666667,0.04,0.18421052631578946,0.04895104895104895,0.07734806629834254,0.040229885057471264,0.0160753804511602,0.030602341286459965,0.9308463580064877,0.44666666666666666,469,6313,0.9777411376751854,0.16666666666666666,27,1186,0.920632070389657,0.44666666666666666,442,5127,0.9569657184536834,1371,0.9410887397464579,2682,0.9076584829607915,2729,3b9d4f9290c8,317f685,False,run_experiments
static_calm,nominal,lawnmower_collect,3,time_budget,17,0.11333333333333333,6.691002643000681,0.002094407187841786,3194.7000000012067,5401.0,34,33,22,6.886405609287786,1037.2500000002278,0.32467837355615115,1776.0,0.32882799481577485,0.3333333333333333,0,188,20,17,3,3,165,3,0,0.85,0,0,-0.1805854340602498,0,0.05283722222220606,0.02,0.05333333333333334,0.1,0.23484848484848486,0.2421875,0.23846153846153847,0.13537117903930132,0.017480665406490015,0.04579059121490465,0.9663680534467052,0.6266666666666667,443,12729,0.9925163704396632,0.3933333333333333,24,3183,0.9579528349222278,0.6266666666666667,419,9546,0.9853411513859275,3752,0.9727288222260099,5867,0.9358288770053476,3553,b48f1de66202,317f685,False,run_experiments
static_calm,nominal,lawnmower_collect,4,time_budget,18,0.12,5.821364409311964,0.0018221943873633721,3194.7000000012067,5401.0,34,33,22,6.886405609287786,1391.7000000005514,0.43562775847498225,2366.0,0.4380670246250694,0.3333333333333333,0,206,24,18,6,6,182,0,0,0.75,0,0,-0.18260186104396978,0,0.06161305555554078,0.03333333333333333,0.06666666666666667,0.12,0.2159090909090909,0.14728682170542637,0.17511520737327188,0.09595959595959595,0.01602715747046393,0.039882137367486165,0.9610170918582134,0.6,463,11414,0.9890400604686319,0.35333333333333333,29,2617,0.9529845087206154,0.6,434,8797,0.981038234379857,3217,0.9671002295332823,5228,0.932983682983683,3432,c26cfed22dd2,317f685,False,run_experiments
static_calm,nominal,lawnmower_collect,5,time_budget,3,0.02,1.5245645205216851,0.00047721680299280347,3194.7000000012067,5401.0,34,33,30,9.390553103574254,2534.2500000009354,0.7932669734247279,4290.0,0.7942973523421588,0.09090909090909091,0,24,3,3,0,0,21,0,0,1.0,0,0,-0.142130717225699,0,0.01107083333333107,0.006666666666666667,0.013333333333333334,0.02,0.21739130434782608,0.03496503496503497,0.060240963855421686,0.031055900621118012,0.015111697483116174,0.027141523426880032,0.9162195625257945,0.4,406,4440,0.9653284671532847,0.12666666666666668,19,529,0.90995812005584,0.4,387,3911,0.9210110584518167,633,0.9312221672439387,2021,0.9010036496350365,2192,ed4516ac721a,317f685,False,run_experiments
static_calm,nominal,lawnmower_collect,6,time_budget,9,0.06,2.895928211291564,0.0009064789217424077,3194.7000000012067,5401.0,34,33,24,7.512442482859403,1412.1000000007384,0.44201333458547126,2405.0,0.4452879096463618,0.2727272727272727,0,88,11,9,2,2,77,0,0,0.8181818181818182,0,0,-0.1655168886729577,0,0.03749416666666257,0.02666666666666667,0.04,0.06,0.35714285714285715,0.03571428571428571,0.06493506493506494,0.03355704697986577,0.014126955169776256,0.02626421590249582,0.9385315879339784,0.6,432,6596,0.966702470461869,0.16,31,900,0.9342299491553223,0.6,401,5696,0.9535315985130112,1076,0.9428786170612552,2661,0.9301124278334852,3291,aed1d61db02b,317f685,False,run_experiments
static_calm,nominal,lawnmower_collect,7,time_budget,8,0.05333333333333334,1.969520832838231,0.0006164963323121067,3194.7000000012067,5401.0,34,33,27,8.451497793216829,1973.2500000006535,0.617663630387801,3348.0,0.6198852064432513,0.18181818181818182,0,118,13,8,5,5,105,0,0,0.6153846153846154,0,0,-0.17891289546904726,0,0.03140749999999544,0.02,0.03333333333333333,0.05333333333333334,0.28378378378378377,0.14788732394366197,0.19444444444444442,0.1076923076923077,0.016020469111648436,0.03565510789175712,0.9540900690594301,0.5666666666666667,472,9809,0.9861687413554634,0.32666666666666666,30,2139,0.9455128205128205,0.5666666666666667,442,7670,0.9749568221070811,2316,0.9643923240938166,4690,0.9245801526717558,3275,641b119c0b4a,317f685,False,run_experiments
static_calm,nominal,lawnmower_collect,8,time_budget,16,0.10666666666666667,5.683118433004939,0.0017789208479678192,3194.7000000012067,5401.0,34,33,24,7.512442482859403,1411.9500000005637,0.4419663818198987,2403.0,0.4449176078503981,0.2727272727272727,0,143,17,16,1,1,126,0,0,0.9411764705882353,0,0,-0.1899979924645931,0,0.0699716666666608,0.04,0.08666666666666667,0.1,0.20754716981132076,0.08396946564885496,0.11956521739130435,0.06358381502890173,0.015199442918978323,0.034082310494583976,0.9509477192251614,0.6066666666666667,471,9131,0.988089073019161,0.2733333333333333,23,1908,0.9415982270890366,0.6066666666666667,448,7223,0.9762624082865775,2317,0.9609756097560975,3895,0.9221238938053097,3390,6c74bf1e4154,317f685,False,run_experiments
static_calm,nominal,lawnmower_collect,9,time_budget,7,0.04666666666666667,3.1110767676369484,0.0009738243865263634,3194.7000000012067,5401.0,34,33,28,8.764516230002636,2159.700000000863,0.6760259179265806,3662.0,0.6780225884095538,0.15151515151515152,0,79,9,7,2,2,70,0,0,0.7777777777777778,0,0,-0.16984038517500774,0,0.025764166666662352,0.02,0.02666666666666667,0.04666666666666667,0.25396825396825395,0.11188811188811189,0.15533980582524273,0.08421052631578947,0.016042325992402035,0.03378246617268638,0.9388789913663149,0.46,446,6851,0.9840865690642903,0.22666666666666666,25,1546,0.9264757247642333,0.46,421,5305,0.9714434060228453,1926,0.9493132766514062,3058,0.8979680069174233,2313,495ac75c2652,317f685,False,run_experiments
