scenario,profile,mode,seed,stop_reason,collected,collected_ratio,collected_mass_kg,collected_mass_per_meter,path_length_m,sim_time_s,goal_count,evaluated_goal_count,empty_goal_arrivals,empty_goal_arrivals_per_km,wasted_path_to_empty_goals,wasted_path_ratio,wasted_time_to_empty_goals,wasted_time_ratio,goal_success_rate,route_false_visits,capture_contacts,terminal_capture_attempts,successful_captures,missed_capture_count,missed_captures,partial_contact_events,throughput_limit_events,bin_full_events,collection_precision,pushed_away_events,pushed_away_debris_count,info_gain_total,unload_events,auc_collected_by_path,collected_ratio_at_1km,collected_ratio_at_2km,collected_ratio_at_3km,map_precision,map_recall,map_f1,map_iou,map_brier,count_mae,detection_precision,detection_recall,false_detection_count,true_detection_count,camera_detection_precision,camera_detection_recall,camera_false_detection_count,camera_true_detection_count,radar_detection_precision,radar_detection_recall,radar_false_detection_count,radar_true_detection_count,near_range_detection_precision,near_range_detection_count,mid_range_detection_precision,mid_range_detection_count,far_range_detection_precision,far_range_detection_count,config_hash,git_commit,git_dirty,runner,provenance_id,git_commit_full,source_sha256,environment_sha256,regime_config_path_budget_m,regime_config_safety_tmax_s,regime_config_world_area_m2,regime_config_collection_coverage_ratio,regime_config_drift_speed_mps,regime_config_drift_per_update_width,regime_config_drift_per_60s_width,regime_config_camera_sigma_eff_m,regime_config_radar_sigma_eff_m,regime_config_camera_capture_uncertainty_ratio,regime_config_radar_capture_uncertainty_ratio,regime_config_expected_camera_clutter_per_scan,regime_config_expected_radar_clutter_per_scan,regime_config_expected_clutter_per_s,regime_config_debris_density_per_m2,regime_outcome_empty_visit_fraction,regime_outcome_wasted_path_fraction,regime_outcome_false_marks_per_km,regime_outcome_false_to_true_marks,regime_outcome_completed_leg_n,regime_outcome_mean_completed_leg_time_s,regime_outcome_mean_completed_leg_drift_width,regime_goal_start_count,regime_goal_snapshot_count,regime_goal_snapshot_coverage,regime_goal_start_mean_response_time_nominal_s,regime_goal_start_valid_n_response_time_nominal_s,regime_goal_start_mean_drift_response_width,regime_goal_start_valid_n_drift_response_width,regime_goal_start_mean_diffusion_response_width,regime_goal_start_valid_n_diffusion_response_width,regime_goal_start_mean_fresh_age_limit_s,regime_goal_start_valid_n_fresh_age_limit_s,regime_goal_start_mean_reachable_radius_m,regime_goal_start_valid_n_reachable_radius_m,regime_goal_start_mean_reachable_area_m2,regime_goal_start_valid_n_reachable_area_m2,regime_goal_start_mean_fresh_target_count,regime_goal_start_valid_n_fresh_target_count,regime_goal_start_mean_fresh_target_density_per_m2,regime_goal_start_valid_n_fresh_target_density_per_m2,regime_goal_start_mean_fresh_target_sigma_width_median,regime_goal_start_valid_n_fresh_target_sigma_width_median,regime_goal_start_mean_map_concentration,regime_goal_start_valid_n_map_concentration,regime_goal_start_mean_queued_route_points,regime_goal_start_valid_n_queued_route_points,regime_goal_start_mean_queued_route_length_m,regime_goal_start_valid_n_queued_route_length_m,regime_goal_start_mean_queued_route_time_nominal_s,regime_goal_start_valid_n_queued_route_time_nominal_s,regime_goal_start_mean_route_staleness_ratio,regime_goal_start_valid_n_route_staleness_ratio,regime_goal_start_mean_route_drift_width,regime_goal_start_valid_n_route_drift_width,oracle_pair_key,source_manifest,source_manifest_sha256,regime_oracle_available,regime_oracle_gap_auc,regime_oracle_gap_collected_ratio
strong_drift,nominal,adaptive_mission,300,path_budget,128,0.8533333333333334,41.88432488013426,0.013961126068180767,3000.0678079681634,4749.0,224,139,81,26.999389742079977,1754.6755839669204,0.5848786415115391,2506.0,0.5276900400084228,0.4172661870503597,59,2417,163,128,35,35,1260,994,0,0.7852760736196319,0,0,-0.028783846992078484,1,0.5439908942772081,0.5333333333333333,0.8266666666666667,0.8533333333333334,0.0,0.0,0.0,0.0,0.0020550222618909513,0.013063931610272733,0.9703136396790664,1.0,407,13303,0.9955019423430791,0.9733333333333334,22,4869,0.9563442567184488,1.0,385,8434,0.9930415957940313,6467,0.9663143989431968,4542,0.9226212513883747,2701,0288e2664f58,d92b496,False,run_once,d010cef76793fb21b5d0cde4656c39e69eba49a407d2087d3393c5880e2e1c54,d92b4960a2720f30569fc0f45993ebbf336ea868,e5934115dc33af791b01753a71328ed9f6310def182346130a371bd457ff1537,d7d6ec05229d2b30aba071f56047beb17ff4b5e39a598573816121377609fd21,3000.0,16500.0,40000.0,0.075,0.11503912377969504,0.23007824755939008,6.902347426781702,1.25,3.67,1.25,3.67,0.009544769346843989,0.15904312808798324,0.08429394871741361,0.00375,0.5827338129496403,0.5848786415115391,135.66360030896976,0.03059460272119071,221,20.506787330316744,2.35908284601619,224,0,0.0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,4fe35650e27f51e8255c8491f8bbd2eb5208ba32c9bd4003536d4c090527ceb4,C:\Users\Quirence\PycharmProjects\Education\01_Учебные_дисциплины\datascience\out\audit\reproducibility_control_2026-09-07\repeat1\strong_drift__adaptive_mission__nominal__seed300_manifest.json,f1bfdb0c1a30cccaff36103bb61fb146b3db62870ce62bc34ffe1d115d499b29,False,,
strong_drift,nominal,adaptive_mission,301,path_budget,122,0.8133333333333334,45.790620259879745,0.015263419382204426,3000.0237242558433,4887.0,239,165,105,34.999723219203965,1494.928539176137,0.49830557241574963,2448.0,0.5009208103130756,0.36363636363636365,83,2134,155,122,33,33,1375,604,0,0.7870967741935484,0,0,-0.03600626939057565,1,0.4436499914556133,0.19504426512074866,0.7266666666666667,0.8133333333333334,0.0,0.0,0.0,0.0,0.0025941150671009382,0.023647455245531548,0.9718701039737929,1.0,395,13647,0.9962264150943396,0.9733333333333334,20,5280,0.9571036376115305,1.0,375,8367,0.9938210925431822,7121,0.9717894736842105,4750,0.9000460617227084,2171,96e377b50ce9,d92b496,False,run_once,d010cef76793fb21b5d0cde4656c39e69eba49a407d2087d3393c5880e2e1c54,d92b4960a2720f30569fc0f45993ebbf336ea868,e5934115dc33af791b01753a71328ed9f6310def182346130a371bd457ff1537,d7d6ec05229d2b30aba071f56047beb17ff4b5e39a598573816121377609fd21,3000.0,16500.0,40000.0,0.075,0.11503912377969504,0.23007824755939008,6.902347426781702,1.25,3.67,1.25,3.67,0.009544769346843989,0.15904312808798324,0.08429394871741361,0.00375,0.6363636363636364,0.49830557241574963,131.66562544367207,0.02894409027625119,237,19.50210970464135,2.2435056122774277,239,0,0.0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,b0cf8fe22a67d27f0b300890b4899490ce1315e037f2292d593bb8a3da701381,C:\Users\Quirence\PycharmProjects\Education\01_Учебные_дисциплины\datascience\out\audit\reproducibility_control_2026-09-07\repeat1\strong_drift__adaptive_mission__nominal__seed301_manifest.json,ca5685b747314621452a1cea0b10241e49445f611b6ecaa81c49120ea63a6b3d,False,,
strong_drift,nominal,belief_horizon,300,path_budget,134,0.8933333333333333,44.14719705122566,0.01471483131391292,3000.183699658476,5292.0,238,112,70,23.331904645694994,1687.3456852966842,0.5624141233381016,2662.0,0.5030234315948602,0.375,0,2501,189,134,55,55,1359,953,0,0.708994708994709,0,0,0.005824425172600935,1,0.6760496171408612,0.5533333333333333,0.8933333333333333,0.8933333333333333,0.0,0.0,0.0,0.0,0.001419950329216725,0.007846286640514665,0.9706435577052264,1.0,437,14449,0.9939824945295405,0.9866666666666667,33,5451,0.9570304190597745,1.0,404,8998,0.9921213889699445,6854,0.9700443786982249,5408,0.9157774390243902,2624,0a58a9714d2b,d92b496,False,run_once,d010cef76793fb21b5d0cde4656c39e69eba49a407d2087d3393c5880e2e1c54,d92b4960a2720f30569fc0f45993ebbf336ea868,e5934115dc33af791b01753a71328ed9f6310def182346130a371bd457ff1537,d7d6ec05229d2b30aba071f56047beb17ff4b5e39a598573816121377609fd21,3000.0,16500.0,40000.0,0.075,0.11503912377969504,0.23007824755939008,6.902347426781702,1.25,3.67,1.25,3.67,0.009544769346843989,0.15904312808798324,0.08429394871741361,0.00375,0.625,0.5624141233381016,145.65774757383875,0.03024430756453734,236,21.533898305084747,2.4772407925780096,238,0,0.0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,4fe35650e27f51e8255c8491f8bbd2eb5208ba32c9bd4003536d4c090527ceb4,C:\Users\Quirence\PycharmProjects\Education\01_Учебные_дисциплины\datascience\out\audit\reproducibility_control_2026-09-07\repeat1\strong_drift__belief_horizon__nominal__seed300_manifest.json,448166902370370c3c931332ee86733ae79abd30c1668b02aeae3902f69baf13,False,,
strong_drift,nominal,belief_horizon,301,path_budget,115,0.7666666666666667,43.35168362496396,0.014450490154184153,3000.0147512236076,5784.0,321,106,66,21.999891824892117,1414.8673680487284,0.47162013702487643,2199.0,0.3801867219917012,0.37735849056603776,0,1536,148,115,33,33,1098,290,0,0.777027027027027,0,0,0.011073775369416186,1,0.47905723295730446,0.47333333333333333,0.64,0.7666666666666667,0.0,0.0,0.0,0.0,0.003026505568755472,0.015553122970559883,0.960772104607721,0.9933333333333333,504,12344,0.9949227840067696,0.9466666666666667,24,4703,0.9408939785740672,0.9933333333333333,480,7641,0.988582612950579,6131,0.9591695501730104,4335,0.8921074727120067,2382,f7b67a4b6da1,d92b496,False,run_once,d010cef76793fb21b5d0cde4656c39e69eba49a407d2087d3393c5880e2e1c54,d92b4960a2720f30569fc0f45993ebbf336ea868,e5934115dc33af791b01753a71328ed9f6310def182346130a371bd457ff1537,d7d6ec05229d2b30aba071f56047beb17ff4b5e39a598573816121377609fd21,3000.0,16500.0,40000.0,0.075,0.11503912377969504,0.23007824755939008,6.902347426781702,1.25,3.67,1.25,3.67,0.009544769346843989,0.15904312808798324,0.08429394871741361,0.00375,0.6226415094339622,0.47162013702487643,167.9991739355398,0.04082955281918341,318,17.433962264150942,2.005587742876193,321,0,0.0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,b0cf8fe22a67d27f0b300890b4899490ce1315e037f2292d593bb8a3da701381,C:\Users\Quirence\PycharmProjects\Education\01_Учебные_дисциплины\datascience\out\audit\reproducibility_control_2026-09-07\repeat1\strong_drift__belief_horizon__nominal__seed301_manifest.json,a2df9a6c6c3058f8faa99f5df6ca2dc86049945551bc8cf8dd7cd6d28fd41344,False,,
