path_budget_m,scenario,metric,mode_a,mode_b,paired_total,paired_runs,mode_a_reached,mode_b_reached,both_reached,mode_a_reach_rate,mode_b_reach_rate,censored_pairs,mean_difference,ci95_low,ci95_high,cohen_dz,rank_biserial,p_value,p_permutation,p_normal_approx,p_holm
1200.0,robot_disturbed,auc_collected_by_path,adaptive_mission,belief_horizon,30,30,30,30,30,1.0,1.0,0,-0.0021177007073666667,-0.009089094527773333,0.0036926191372333318,-0.11941179783583933,-0.009523809523809525,0.556640625,0.556640625,0.5130825867754012,1.0
1200.0,robot_disturbed,auc_collected_by_path,adaptive_mission,belief_orienteering,30,30,30,30,30,1.0,1.0,0,0.02938120154383333,0.018695743486840832,0.041591495055036655,0.9025805370303892,0.896774193548387,4.999750012499375e-05,4.999750012499375e-05,7.667834145408392e-07,0.0095995200239988
1200.0,robot_disturbed,auc_collected_by_path,adaptive_mission,belief_orienteering_depth1,30,30,30,30,30,1.0,1.0,0,0.037833737098033324,0.024691614961220833,0.053187133363504155,0.8972198535462836,0.9741935483870968,4.999750012499375e-05,4.999750012499375e-05,8.911135671585413e-07,0.0095995200239988
1200.0,robot_disturbed,auc_collected_by_path,adaptive_mission,confirmed_route,30,30,30,30,30,1.0,1.0,0,0.07289729192493333,0.054725850211035015,0.09094591511909662,1.429533495707592,0.9655913978494624,4.999750012499375e-05,4.999750012499375e-05,4.884981308350689e-15,0.0095995200239988
1200.0,robot_disturbed,auc_collected_by_path,adaptive_mission,greedy,30,30,30,30,30,1.0,1.0,0,0.049944041275933326,0.030152239630020828,0.07241646028341998,0.8445550050123267,0.896774193548387,4.999750012499375e-05,4.999750012499375e-05,3.7312234968389646e-06,0.0095995200239988
1200.0,robot_disturbed,auc_collected_by_path,adaptive_mission,lawnmower_collect,30,30,30,30,30,1.0,1.0,0,0.08826150024179999,0.07010110179634917,0.10759813453289502,1.6592532412688143,1.0,4.999750012499375e-05,4.999750012499375e-05,0.0,0.0095995200239988
1200.0,robot_disturbed,auc_collected_by_path,adaptive_mission,oracle_current_physics,30,30,30,30,30,1.0,1.0,0,-0.27007885046586666,-0.29084524303436415,-0.24656091465099578,-4.352027195115679,-1.0,4.999750012499375e-05,4.999750012499375e-05,0.0,0.0095995200239988
1200.0,robot_disturbed,collected_ratio,adaptive_mission,belief_horizon,30,30,30,30,30,1.0,1.0,0,-0.0042222222222,-0.04267222222228834,0.027116666666786637,-0.04224175613279595,0.15384615384615385,0.876953125,0.876953125,0.8170292127848644,1.0
1200.0,robot_disturbed,collected_ratio,adaptive_mission,belief_orienteering,30,30,30,30,30,1.0,1.0,0,0.10511111111113335,0.06488333333344416,0.1482333333333441,0.8618524314153362,0.8597701149425288,4.999750012499375e-05,4.999750012499375e-05,2.3519600893529002e-06,0.0095995200239988
1200.0,robot_disturbed,collected_ratio,adaptive_mission,belief_orienteering_depth1,30,30,30,30,30,1.0,1.0,0,0.1315555555555,0.08355555555553085,0.18400555555552253,0.882810025179789,0.8990147783251231,4.999750012499375e-05,4.999750012499375e-05,1.329118032078469e-06,0.0095995200239988
