path_budget_m,scenario,metric,mode_a,mode_b,paired_total,paired_runs,mode_a_reached,mode_b_reached,both_reached,mode_a_reach_rate,mode_b_reach_rate,censored_pairs,mean_difference,ci95_low,ci95_high,cohen_dz,rank_biserial,p_value,p_permutation,p_normal_approx,p_holm
3000.0,robot_disturbed,empty_goal_arrivals_per_km,adaptive_mission,belief_horizon,5,5,5,5,5,1.0,1.0,0,-1.4665447161529996,-4.2001323102062,1.335049991288226,-0.3954115677456035,-0.4666666666666667,0.4375,0.4375,0.37660599150495644,1.0
3000.0,robot_disturbed,empty_goal_arrivals_per_km,adaptive_mission,belief_orienteering,5,5,5,5,5,1.0,1.0,0,0.7338268227628001,-0.3988717436482,1.7995285031527999,0.5390354467014189,0.7333333333333333,0.1875,0.1875,0.2280798297861597,1.0
3000.0,robot_disturbed,empty_goal_arrivals_per_km,adaptive_mission,belief_orienteering_depth1,5,5,5,5,5,1.0,1.0,0,5.7329573151814,2.7998019419152,7.932688268551201,1.7139371750180887,1.0,0.0625,0.0625,0.00012685789867861175,1.0
3000.0,robot_disturbed,empty_goal_arrivals_per_km,adaptive_mission,confirmed_route,5,5,5,5,5,1.0,1.0,0,-12.9997410343472,-21.000450318214,-4.9327004934172,-1.2279775510974078,-1.0,0.0625,0.0625,0.0060355955807929185,1.0
3000.0,robot_disturbed,empty_goal_arrivals_per_km,adaptive_mission,greedy,5,5,5,5,5,1.0,1.0,0,-22.865464488258198,-33.3317811717794,-10.932266461224202,-1.5809155726796111,-1.0,0.0625,0.0625,0.0004077216328064459,1.0
3000.0,robot_disturbed,empty_goal_arrivals_per_km,adaptive_mission,lawnmower_collect,5,5,5,5,5,1.0,1.0,0,19.8659178450802,17.9994716236198,21.7321087504406,8.164064355452693,1.0,0.0625,0.0625,0.0,1.0
3000.0,robot_disturbed,empty_goal_arrivals_per_km,adaptive_mission,oracle_current_physics,5,5,5,5,5,1.0,1.0,0,20.2368043644234,17.8354436544038,22.567540647247597,6.625988950096231,1.0,0.0625,0.0625,0.0,1.0
3000.0,robot_disturbed,wasted_path_ratio,adaptive_mission,belief_horizon,5,5,5,5,5,1.0,1.0,0,-0.06014152692279999,-0.10216320647820001,-0.017613398519599997,-1.0947127246309931,-1.0,0.0625,0.0625,0.014371064599388639,1.0
3000.0,robot_disturbed,wasted_path_ratio,adaptive_mission,belief_orienteering,5,5,5,5,5,1.0,1.0,0,-0.1145774524668,-0.2134100703372,-0.0301927852078,-0.9470785614857008,-0.8666666666666667,0.125,0.125,0.034197767459822614,1.0
3000.0,robot_disturbed,wasted_path_ratio,adaptive_mission,belief_orienteering_depth1,5,5,5,5,5,1.0,1.0,0,-0.08759043946980001,-0.13449055181859998,-0.0466683736384,-1.5471942112074728,-1.0,0.0625,0.0625,0.0005409152253581517,1.0
3000.0,robot_disturbed,wasted_path_ratio,adaptive_mission,confirmed_route,5,5,5,5,5,1.0,1.0,0,-0.2766658189662,-0.35323999632880004,-0.18787173921759998,-2.642310633477574,-1.0,0.0625,0.0625,3.454753372267305e-09,1.0
3000.0,robot_disturbed,wasted_path_ratio,adaptive_mission,greedy,5,5,5,5,5,1.0,1.0,0,-0.5281077031820001,-0.6151814393327999,-0.4120408895366,-4.030553374405644,-1.0,0.0625,0.0625,0.0,1.0
3000.0,robot_disturbed,wasted_path_ratio,adaptive_mission,lawnmower_collect,5,5,5,5,5,1.0,1.0,0,-0.3099033158762,-0.49187142589880006,-0.12793520585360002,-1.315570168692836,-1.0,0.0625,0.0625,0.003264114234817095,1.0
3000.0,robot_disturbed,wasted_path_ratio,adaptive_mission,oracle_current_physics,5,5,5,5,5,1.0,1.0,0,0.32376795167399997,0.235612762782,0.4091542694888,2.912876742373791,1.0,0.0625,0.0625,7.347322750206331e-11,1.0
3000.0,robot_disturbed,goal_success_rate,adaptive_mission,belief_horizon,5,5,5,5,5,1.0,1.0,0,0.024514741453399998,-0.0016134190932000005,0.0581499377852,0.6097947124756382,0.6,0.25,0.25,0.17271162191950817,1.0
3000.0,robot_disturbed,goal_success_rate,adaptive_mission,belief_orienteering,5,5,5,5,5,1.0,1.0,0,0.021108375144200005,-0.0762143366742,0.12816817653899998,0.15605835980612753,0.06666666666666667,0.75,0.75,0.7271215159456648,1.0
3000.0,robot_disturbed,goal_success_rate,adaptive_mission,belief_orienteering_depth1,5,5,5,5,5,1.0,1.0,0,-0.014140490691999996,-0.05649758159539999,0.0328117037896,-0.2381843659221926,-0.3333333333333333,0.625,0.625,0.5943129715915132,1.0
3000.0,robot_disturbed,goal_success_rate,adaptive_mission,confirmed_route,5,5,5,5,5,1.0,1.0,0,0.049759509803,0.030647680572200003,0.061638460323199994,2.321468907063758,1.0,0.0625,0.0625,2.0921000554174896e-07,1.0
3000.0,robot_disturbed,goal_success_rate,adaptive_mission,greedy,5,5,5,5,5,1.0,1.0,0,0.24415484527299997,0.16113487090559997,0.32052632990419994,2.3746082554727024,1.0,0.0625,0.0625,1.0975434250326543e-07,1.0
3000.0,robot_disturbed,goal_success_rate,adaptive_mission,lawnmower_collect,5,5,5,5,5,1.0,1.0,0,0.1018054288036,-0.032420355802200006,0.22030538879220002,0.5940053872970615,0.6,0.3125,0.3125,0.1841000146759022,1.0
3000.0,robot_disturbed,goal_success_rate,adaptive_mission,oracle_current_physics,5,5,5,5,5,1.0,1.0,0,-0.5543218533473999,-0.6183110374851999,-0.49005077481479997,-6.600126252413546,-1.0,0.0625,0.0625,0.0,1.0
3000.0,robot_disturbed,regret_to_best_fixed_auc,adaptive_mission,belief_horizon,5,5,5,5,5,1.0,1.0,0,0.0162831837762,0.0042992364164,0.028267131136,1.0630170477214615,1.0,0.25,0.25,0.017455111180076477,1.0
3000.0,robot_disturbed,regret_to_best_fixed_auc,adaptive_mission,belief_orienteering,5,5,5,5,5,1.0,1.0,0,-0.037525688742800004,-0.10422574447039998,0.021522726867,-0.4533595552384937,-0.4666666666666667,0.375,0.375,0.31070550332507807,1.0
3000.0,robot_disturbed,regret_to_best_fixed_auc,adaptive_mission,belief_orienteering_depth1,5,5,5,5,5,1.0,1.0,0,-0.034522422487800006,-0.0553586164684,-0.0122941774438,-1.240019626242359,-0.8666666666666667,0.125,0.125,0.005558170064641654,1.0
3000.0,robot_disturbed,regret_to_best_fixed_auc,adaptive_mission,confirmed_route,5,5,5,5,5,1.0,1.0,0,-0.10339756942780001,-0.1550447047252,-0.0517504341304,-1.5896610226358125,-1.0,0.0625,0.0625,0.0003785687660626813,1.0
3000.0,robot_disturbed,regret_to_best_fixed_auc,adaptive_mission,greedy,5,5,5,5,5,1.0,1.0,0,-0.23804522852399995,-0.34120514800142004,-0.1498713017484,-1.9614818748894876,-1.0,0.0625,0.0625,1.1545050870420681e-05,1.0
3000.0,robot_disturbed,regret_to_best_fixed_auc,adaptive_mission,lawnmower_collect,5,5,5,5,5,1.0,1.0,0,-0.31173662089900006,-0.388845689875,-0.2373637845646,-3.0091713631898043,-1.0,0.0625,0.0625,1.711719654906574e-11,1.0
3000.0,robot_disturbed,regret_to_best_fixed_auc,adaptive_mission,oracle_current_physics,5,0,5,0,0,1.0,0.0,5,,,,,0.0,,,,
3000.0,static_calm,auc_collected_by_path,adaptive_mission,belief_horizon,5,5,5,5,5,1.0,1.0,0,-0.0326504733184,-0.0781567188568,0.0017151789574000001,-0.6357274817854515,-0.6,0.3125,0.3125,0.15516277788549337,1.0
3000.0,static_calm,auc_collected_by_path,adaptive_mission,belief_orienteering,5,5,5,5,5,1.0,1.0,0,0.059128495006399995,0.0404294887986,0.07782750121419998,2.467781127918281,1.0,0.0625,0.0625,3.426330486000495e-08,1.0
3000.0,static_calm,auc_collected_by_path,adaptive_mission,belief_orienteering_depth1,5,5,5,5,5,1.0,1.0,0,0.0455165096866,0.022107377834399998,0.06557719841202982,1.5925498781997984,1.0,0.0625,0.0625,0.00036937503182521425,1.0
3000.0,static_calm,auc_collected_by_path,adaptive_mission,confirmed_route,5,5,5,5,5,1.0,1.0,0,0.0739360113446,0.0607365545956,0.086710919794,4.099264672268289,1.0,0.0625,0.0625,0.0,1.0
3000.0,static_calm,auc_collected_by_path,adaptive_mission,greedy,5,5,5,5,5,1.0,1.0,0,0.0465594780864,-0.004952430624599999,0.0866036582364,0.7803890746530328,0.7333333333333333,0.1875,0.1875,0.0809843433076316,1.0
3000.0,static_calm,auc_collected_by_path,adaptive_mission,lawnmower_collect,5,5,5,5,5,1.0,1.0,0,0.2152182936564,0.182074638359,0.2568504313874,4.471308330170528,1.0,0.0625,0.0625,0.0,1.0
3000.0,static_calm,auc_collected_by_path,adaptive_mission,oracle_current_physics,5,5,5,5,5,1.0,1.0,0,-0.5003317057696,-0.532030460148,-0.46615380222320024,-11.622918271836857,-1.0,0.0625,0.0625,0.0,1.0
3000.0,static_calm,collected_ratio,adaptive_mission,belief_horizon,5,5,5,5,5,1.0,1.0,0,-0.05600000000000001,-0.1613333333332,0.016,-0.4831257800533707,-0.4,0.5,0.5,0.28000768116403485,1.0
3000.0,static_calm,collected_ratio,adaptive_mission,belief_orienteering,5,5,5,5,5,1.0,1.0,0,0.12400000000000003,0.0866666666666,0.16266666666679996,2.436007756698827,1.0,0.0625,0.0625,5.120374302336472e-08,1.0
3000.0,static_calm,collected_ratio,adaptive_mission,belief_orienteering_depth1,5,5,5,5,5,1.0,1.0,0,0.0813333333332,0.051999999999800005,0.11733333333320002,1.8455215134883602,1.0,0.0625,0.0625,3.679874746898015e-05,1.0
3000.0,static_calm,collected_ratio,adaptive_mission,confirmed_route,5,5,5,5,5,1.0,1.0,0,0.1506666666666,0.1239999999998,0.17600000000000002,4.286334316218791,1.0,0.0625,0.0625,0.0,1.0
3000.0,static_calm,collected_ratio,adaptive_mission,greedy,5,5,5,5,5,1.0,1.0,0,0.11199999999999999,-0.002666666666599998,0.192,0.8532206958600627,0.8,0.1875,0.1875,0.05640938116964511,1.0
3000.0,static_calm,collected_ratio,adaptive_mission,lawnmower_collect,5,5,5,5,5,1.0,1.0,0,0.40666666666659995,0.34533333333320004,0.4760999999999995,4.699264416201646,1.0,0.0625,0.0625,0.0,1.0
3000.0,static_calm,collected_ratio,adaptive_mission,oracle_current_physics,5,5,5,5,5,1.0,1.0,0,-0.5346666666666,-0.6106666666666001,-0.44793333333313035,-5.137438117813826,-1.0,0.0625,0.0625,0.0,1.0
3000.0,static_calm,oracle_gap_auc_collected_by_path,adaptive_mission,belief_horizon,5,5,5,5,5,1.0,1.0,0,0.0326504733184,-0.0017151789574000001,0.0781567188568,0.6357274817854515,0.6,0.3125,0.3125,0.15516277788549337,1.0
3000.0,static_calm,oracle_gap_auc_collected_by_path,adaptive_mission,belief_orienteering,5,5,5,5,5,1.0,1.0,0,-0.059128495006399995,-0.07782750121419998,-0.0404294887986,-2.467781127918281,-1.0,0.0625,0.0625,3.426330486000495e-08,1.0
3000.0,static_calm,oracle_gap_auc_collected_by_path,adaptive_mission,belief_orienteering_depth1,5,5,5,5,5,1.0,1.0,0,-0.0455165096866,-0.06557719841203,-0.022107377834399998,-1.5925498781997984,-1.0,0.0625,0.0625,0.00036937503182521425,1.0
